mass,distanceX,distanceY,distanceZ,velocityX,velocityY,velocityZ
2.380952380952381e+28,1281562565033.5632,2742517408682.082,-590476000957.5623,-9652.363525950146,6809.161762026207,682.6921197048462
2.380952380952381e+28,977483830235.9001,2679986486135.082,-420850632098.0894,-3656.8321736377925,9586.543285742695,6469.563329111085
2.380952380952381e+28,1120302689314.5007,2262845494747.9707,-864384248287.9363,-3163.250190535933,-11434.621613152973,-9580.31080613464
2.380952380952381e+28,1399806346368.2793,2733556368314.6094,-591467790081.2052,8208.02796374364,-10139.250379405767,-4290.2333686464735
2.380952380952381e+28,2041106630861.1648,2613215037555.518,117718148394.34784,5162.784382814893,3084.280057044624,6364.532301650726
2.380952380952381e+28,1464011631204.0496,3177350319518.8584,-994206328754.7885,5515.5430668880235,-3618.6131252198384,-2829.4424120553235
2.380952380952381e+28,1296943647764.4473,2904528314568.8506,-797969922356.3586,5707.093743400489,1351.4013869139455,-581.7899685803493
2.380952380952381e+28,1977244641793.3225,2114419171265.6655,-844454811792.062,-2783.423773845195,4635.585103167327,400.1713849399603
2.380952380952381e+28,851817600579.7976,2895205029975.472,-2689617191501.438,-3310.3577307813857,-9777.456735796235,4168.821341300977
2.380952380952381e+28,1576292418059.3445,1687635995126.9026,-933967055157.8591,6010.029746357979,-2021.630442693174,-3066.2619678469214
2.380952380952381e+28,1129007714594.5354,2233141827631.5195,-634833564007.3118,2293.859892443209,-8713.87140503801,-572.7074244637218
2.380952380952381e+28,803967702502.9475,2679540250507.022,-228494137403.09137,-3930.6389149669335,-4146.41399952775,4345.40355370092
2.380952380952381e+28,2133576138572.0237,2836322044139.3745,-1540446905043.312,849.621862608924,-780.4675792386065,-6112.990120533546
2.380952380952381e+28,1557741637491.0012,2169004030285.3354,-18305913026.565266,-3738.1023570728817,-3711.2414362115446,8269.84461101346
2.380952380952381e+28,1695426756079.7734,2464037057582.479,-280542068897.6995,4448.484467839905,-6306.609243148128,-3476.972065774664
2.380952380952381e+28,1601218876872.3484,2525627665203.073,-565558287169.2244,4164.922653282647,4765.14498001558,7345.022962052505
2.380952380952381e+28,1336590521464.4521,1857091824853.5835,1192768693810.21,2733.1229676542407,-3106.989418962949,-2597.162613124641
2.380952380952381e+28,1247956813619.2158,2761086289508.2773,-561910871357.0282,11716.990899014136,-5316.790665986814,-210.25153007438163
2.380952380952381e+28,1288266086307.4216,2417579463763.8916,-792787527642.8351,1878.8672576461138,-388.3317885013045,-4025.3682712988934
2.380952380952381e+28,1213076475104.6501,2315394828755.356,-379375730961.7712,5260.622553627224,-7318.402060843993,8367.652883725606
2.380952380952381e+28,1565307708601.97,3103392481346.309,-388256636838.7569,-5098.916384661485,9373.312294542704,2442.6016431653293
2.380952380952381e+28,1115979919831.1228,4121068260788.681,-1038454349811.6719,-1622.5651633900882,-2305.442994962043,1582.3173672256069
2.380952380952381e+28,992006691800.8953,3450285989389.5786,-355083551788.3548,2865.971942452341,-957.0302796158849,9886.545179541636
2.380952380952381e+28,1652385883845.868,1412757041898.5623,-863904622933.8428,-4970.685333428479,-4888.115423920723,1802.5922990792628
2.380952380952381e+28,1577571817270.294,2774051942059.235,-417061489182.9899,-13079.317984269213,-2450.2196413856254,6754.028024282012
2.380952380952381e+28,2107365117109.6118,419480127866.4393,-499190814019.4598,440.73567836850106,-2441.789954607043,2118.323479565611
2.380952380952381e+28,904550938935.3977,3513949181455.6763,-77254280898.48805,-7406.4712473620775,-8193.323237833447,1531.208001345305
2.380952380952381e+28,730664246863.4471,1875647734994.842,-141920529811.7534,-5696.996386444903,-6834.503195544541,1482.105965107483
2.380952380952381e+28,1750977168022.472,3126907952515.9355,-658572175774.9354,-1830.1972642406201,-6189.994810508953,7796.827800428469
2.380952380952381e+28,1333981243189.0913,2331862418470.582,-576433066735.0524,2162.7754763363664,-1331.2487723765437,-664.3683739325844
2.380952380952381e+28,-145621096163.78043,3046092539459.4463,-1022354648151.8387,1765.7629877585653,-1702.0252188141778,1095.9489408929055
