mass,distanceX,distanceY,distanceZ,velocityX,velocityY,velocityZ
1e+33,21112.56945863337,153257.22697163577,-9357.373317711834,-0.01643472565950492,0.052622642268209216,-0.004905422064833373
1.3977752533586476e+24,512739525434.9519,17950460510.511017,15485252671.607155,-11241.639831505503,359149.7154857268,-20774.92303624611
3.9495057210025085e+24,-341444860722.9321,176438440824.0888,-50033678488.58645,-195850.40499374503,-355310.97657700855,90940.8206131382
8.465504014247168e+24,960154392015.82,-168525711915.29395,26802708794.317955,45529.43860115519,257263.87172928386,-13606.46145357998
8.818247617352777e+24,-461615166653.3792,-191698917679.00427,60139332859.37084,138801.65482063394,-336628.171535348,1450.0654278126683
5.542346000127905e+24,-119254536482.13368,576764700407.893,23163944650.851017,-327499.0582146464,-69301.03886654993,29810.869290191786
5.024006723835577e+24,-341643062997.2698,231143900161.5012,-72065941320.21013,-222335.0210352837,-331861.43418826914,16750.168220575204
4.591111804794292e+24,429918543017.6572,-413052061233.26953,8678843081.594574,231828.07275875568,241236.21928424254,630.7533420495811
4.865942451157456e+24,532806926797.42444,-141488834162.14587,23472757992.322254,90032.98718587584,335757.7163261428,-6164.374132593558
4.2629383525037846e+24,1075474503496.5273,75239526219.68341,19334310256.22956,-17287.82254029953,248179.16185508878,-1496.1507083139518
9.16133076254374e+24,44347498404.177795,-329395780607.2075,-6614543101.704272,441775.789116268,60143.59745553168,-60001.1775202268
9.127668966203965e+24,-399118851527.08624,-20439911053.504368,48035493265.93114,13438.152524902693,-402532.3158812798,-60374.97866764504
4.1599159952785817e+24,-689786600816.3123,733186390806.717,-35324494839.14617,-187650.920452208,-176051.4114990994,5239.461925946245
9.307560127110699e+24,-628606278603.445,-431743985901.6795,-12644069730.42479,167498.0446792783,-243770.18130344458,-8535.26504265777
3.1108603587997254e+24,-632317060672.3011,273417589802.51663,62405581305.12946,-116596.92341603414,-281754.83784647175,66131.53073206753
7.116070250228749e+24,-581599341418.9141,-404255041814.4055,803162621.9806044,175182.58605282073,-252024.20179171613,4836.657015837356
4.613837255185033e+24,96146279034.14699,-737666455624.7129,23521818748.35614,294042.8332384058,39501.917854027226,44800.87778211095
8.610462568997086e+23,745871315813.9359,239469921836.27026,26157870464.89675,-87442.03360212175,276410.84662130056,-29702.412188770126
7.87340476442444e+24,155965724351.5549,-138250205864.08347,116290094956.12874,192804.46551564956,420099.10035059956,273986.9550925082
8.73330784560337e+24,-22425955997.81285,166992363583.8681,875410621.6555947,-622895.8683209184,-83404.04616105852,-25078.328628771742
1.502451263808497e+24,-183709758479.7027,-414423669691.7735,-20654209142.042088,350778.988604279,-154816.1175980131,-4829.398644491036
1.988036062747678e+24,33131479948.77144,318411953582.3458,44756291894.98847,-450343.66086854355,40223.76678103375,43448.93494670595
8.236814623509531e+24,-318008167788.4085,-317445491463.2782,63966043412.27259,272421.76582549704,-269850.3694902441,1455.037267617929
9.283074566587033e+24,850371916016.062,-369110028272.35425,-5468939577.941234,106843.6440157661,246130.67685998062,-57.6666450793681
4.329161473761917e+23,-291937251265.66504,391360277000.3384,-61308530371.87463,-292780.62613771716,-222456.11996362155,-16439.45415990135
3.1949826598814465e+24,71851696544.49535,-87401280248.3338,-8906745997.890594,590803.4826980818,487175.67484390066,-109402.76935208085
4.74631492268581e+24,-31526263226.256454,212159521964.5597,14121425809.71661,-550338.0298745605,-79581.80112507174,-39073.10559717785
7.373243108744374e+24,644822122256.8903,-253142473862.00882,-69592460143.79431,116500.75057615772,286511.53621378524,5468.76409804858
4.957011933304538e+24,248550675915.80762,454638093745.276,-66470256288.49748,-311966.9722881072,174193.22299208102,3951.460566929869
2.48242509412934e+24,173362556090.84088,-642022009423.9037,4567292601.039866,298362.7394189336,81129.12436218243,60054.36402195181
1.906643955753692e+23,707923381496.3862,-232977821574.4419,26332721221.42162,93309.67169958018,284104.8994391649,15129.316179238622
8.376344324179233e+24,-445702338347.1868,-921959988065.4923,7424431778.218426,229844.22726691776,-111118.26627281088,1983.4445436946162
2.2408586269677402e+24,104245987582.35272,638864062355.8186,-94942111376.18637,-315104.0255786036,55208.09522171156,-12625.851240209064
6.374968813725565e+24,199538911475.8455,413900457128.3931,-24070306821.20272,-343230.3671197111,163503.1326987821,-15255.374882469829
7.265881954290076e+24,-1028155239530.9832,-968410569431.4507,31739097508.07589,148932.21786026913,-158244.70593802282,-5352.2305069564845
